energy,IBD
1.967,2.8398058526483655417617267908823794307383236109266e-44
1.9675,2.8469039204608335179790395657858293512190907342206e-44
1.968,2.8540042296293023049834330551968752932480258586741e-44
1.9685,2.8611067956573849825319945145121390378504807379078e-44
1.969,2.8682116339128303921534332138706618324748195554971e-44
1.9695,2.875318759629066573716582424412525294906371645432e-44
1.97,2.8824281879067535214858085506144375541757921964281e-44
1.9705,2.8895399337152825379565887014503459637550550632692e-44
1.971,2.8966540118942730446895355999745184467590659074451e-44
1.9715,2.9037704371550293300296664416678872009742116251983e-44
1.972,2.9108892240820081396617091107112230543835364783755e-44
1.9725,2.9180103871342342765812718441873161056474033960679e-44
1.973,2.9251339406467151064388244020967767815371268502951e-44
1.9735,2.9322598988318163699723908173255239005224296595667e-44
1.974,2.9393882757806502480924088135219716177066158861566e-44
1.9745,2.9465190854644127350070562794163758987052650562924e-44
1.975,2.9536523417357212563002134062813330196886377818471e-44
1.9755,2.9607880583299148567541520218597633563453777314386e-44
1.976,2.9679262488663679471278820264746557748597336399429e-44
1.9765,2.9750669268497545544235333060265649057911926284122e-44
1.977,2.9822101056713140574181518605311087402410078760394e-44
1.9775,2.9893557986100806563750852591545207532902433313004e-44
1.978,2.996504018834127613537904336008324042827827174136e-44
1.9785,3.0036547794017630982574257762340212190188966356259e-44
1.979,3.0108080932627286670273945792013263882476312947622e-44
1.9795,3.0179639732593625523341767676051674786191591698662e-44
1.98,3.0251224321277788477974598376287255177848923559568e-44
1.9805,3.0322834824989993128049959460324148416059801157841e-44
1.981,3.0394471369000888787972885983604452721622507668583e-44
1.9815,3.0466134077552569568124449147212595517144570313122e-44
1.982,3.0537823073869756878864174615675213664539722372366e-44
1.9825,3.0609538480170517487775459128294997433623195386883e-44
1.983,3.0681280417677028502062907699274413138134019048787e-44
1.9835,3.0753049006626009535023565042054246313878998185409e-44
1.984,3.0824844366279334044008999844587560357355366562742e-44
1.9845,3.0896666614934184855317099960370006953068620204781e-44
1.985,3.0968515869933265827751225733337146357156520376705e-44
1.9855,3.1040392247674689181158889597446990179152734790476e-44
1.986,3.1112295863622051077150172035474357009150844416065e-44
1.9865,3.1184226832314059355377548125483216096758397406646e-44
1.987,3.1256185267374225984539637527452693224878803617005e-44
1.9875,3.1328171281520243025326616961835486766799889106536e-44
1.988,3.1400184986573555318819768599185137507839968183119e-44
1.9885,3.1472226493468492688091883542433277073612832197496e-44
1.989,3.1544295912261474845474678413312314395582300795147e-44
1.9895,3.1616393352139907076205063173203187072728529067782e-44
1.99,3.1688518921431280563170423552536550346133373035442e-44
1.9905,3.1760672727611839020627482995072743425490767564962e-44
1.991,3.1832854877315325486973915747133781009970564857323e-44
1.9915,3.1905065476341426622553393212509990983371504851667e-44
1.992,3.1977304629664429051823419132931774035953939068287e-44
1.9925,3.2049572441441448293089416228586907723153586927533e-44
1.993,3.2121869015020744806369843810769513790315135254528e-44
1.9935,3.2194194452949743781702620782339628092897235131898e-44
1.994,3.2266548856983273903864272639292860567781869557089e-44
1.9945,3.2338932328091384506759138972455944197927276259917e-44
1.995,3.2411344966467256350083954761842915786157771439745e-44
1.9955,3.2483786871534821917342559925929811697375771275421e-44
1.996,3.2556258141956611188601046603044786538634290711286e-44
1.9965,3.2628758875641181165618613535347001567504212523796e-44
1.997,3.270128916975064510434436269468954138023999358488e-44
1.9975,3.277384912070791663050620142780370432573739775757e-44
1.998,3.2846438824204185428723171671184473362171039868255e-44
1.9985,3.2919058375205981641143492473810067363696929295598e-44
1.999,3.2991707867962345672213838506551738792789254961254e-44
1.9995,3.3064387396011717851365297229453806162842525854256e-44
2.0,3.3137097052189065399647108772199118679304871176888e-44
2.0005,3.3209836928632634998107519800553113462502238865961e-44
2.001,3.328260711679058992312017557754272285587968825262e-44
2.0015,3.3355407707428050241965517315916025106441666220243e-44
2.002,3.3428238790633212310274736355034553248437202681608e-44
2.0025,3.3501100455824391009067590470312771565723363150627e-44
2.003,3.3573992791756013782899399113220264345191351967893e-44
2.0035,3.3646915886525184303513203509474863508222491001924e-44
2.004,3.3719869827578170674482159655601738321057031397765e-44
2.0045,3.3792854701716235731908442902666440237208077869925e-44
2.005,3.3865870595101976345030258904583953149423502783422e-44
2.0055,3.3938917593265590466930136114801984235138297804657e-44
2.006,3.4011995781110423769602136125039613445537751258482e-44
2.0065,3.4085105242919418640863467184003775332484267200627e-44
2.007,3.4158246062360520177974517107744256251428741300323e-44
2.0075,3.4231418322492662337140594874808334909782642641946e-44
2.008,3.4304622105771686836390244845129615253001196061648e-44
2.0085,3.4377857494055610225530254611277017712487499341837e-44
2.009,3.4451124568610409877236457196809688713202097193553e-44
2.0095,3.4524423410115745540362704204349379378360870376051e-44
2.01,3.4597754098669965915558244435992225082043225198155e-44
2.0105,3.467111671379602849241274403024955516153690448782e-44
2.011,3.4744511334446380449048087807232323195401098886004e-44
2.0115,3.4817938039008429248532590101881668192225699530819e-44
2.012,3.4891396905309953182393689176341452398796329824481e-44
2.0125,3.496488801062386511129446842938714374948346557369e-44
2.013,3.5038411431673504110277342825521243874591992925641e-44
2.0135,3.5111967244637869525938770481800495212534450287142e-44
2.014,3.5185555525156144504382024266862760010004938589588e-44
2.0145,3.5259176348333142822598228667730935001596941134892e-44
2.015,3.5332829788743719870819444690269534194775086217992e-44
2.0155,3.5406515920437782025896304247494457912443685636461e-44
2.016,3.5480234816945242289235059705068698521433486321519e-44
2.0165,3.5553986551280333252776643229895715530348692359953e-44
2.017,3.5627771195946456149242368997297314602990854144443e-44
2.0175,3.5701588822940978335253289186243315153434116988702e-44
2.018,3.5775439503759323837563191910026434725005959199989e-44
2.0185,3.5849323309399996511102767877112233426739816735023e-44
2.019,3.5923240310368569588521935310600729120474546983084e-44
2.0195,3.5997190576682281588513036685991955381456525714887e-44
2.02,3.6071174177874584050217613552175244135290755704716e-44
2.0205,3.6145191182999049947337068201281007182794629459595e-44
2.021,3.6219241660633825675647420503698674219179131482509e-44
2.0215,3.6293325678886036778611656231798000064068191228363e-44
2.022,3.6367443305395489585368261254928426913269499167188e-44
2.0225,3.6441594607339314140288155986227477526334708632086e-44
2.023,3.6515779651435575026309572145970188125037694325608e-44
2.0235,3.6589998503947495890081726294729659409353901025494e-44
2.024,3.6664251230687640700773683451293586326067945701248e-44
2.0245,3.6738537897021458362962422095968918040148533200363e-44
2.025,3.6812858567871377797322498711608718042607144562597e-44
2.0255,3.6887213307720861444860062707052907827295967094088e-44
2.026,3.6961602180617756885889020520586338909715776745493e-44
2.0265,3.7036025250178597890502671843766513936445495637048e-44
2.027,3.7110482579591874220388763940634854074917900708467e-44
2.0275,3.7184974231621921937016318839503559739214747685818e-44
2.028,3.7259500268612774783849978207247344702901403576429e-44
2.0285,3.7334060752491381006594957884340072974783486741424e-44
2.029,3.7408655744771377022270865795877615562561533208543e-44
2.0295,3.7483285306556823659168084189732606762947679384256e-44
2.03,3.7557949498545242149088347731876589657958139299089e-44
2.0305,3.7632648381031607226554384040356493302372327690421e-44
2.031,3.7707382013911309272178563844167487891411951716013e-44
2.0315,3.7782150456683743301864849898527063219103403631095e-44
2.032,3.785695376845586287713905856251716465261837207991e-44
2.0325,3.7931792007945101021288619917386796656988096120971e-44
2.033,3.8006665233482853921278124506381825797424434188158e-44
2.0335,3.8081573503017930879499795462625972058986302821029e-44
2.034,3.8156516874119305160778002274152278818584563292098e-44
2.0345,3.8231495403979829221517301897154245926293965083449e-44
2.035,3.830650914941891877965271672829195685520984922713e-44
2.0355,3.8381558166885869667354392524234901553117709765725e-44
2.036,3.8456642512463143021951637199405553205213832085471e-44
2.0365,3.8531762241869018597933536899606996205157088843263e-44
2.037,3.8606917410460816416753176781299896223948691050063e-44
2.0375,3.8682108073238087936725449502225149126415000688029e-44
2.038,3.8757334284845108826888220982981905831918577746488e-44
2.0385,3.8832596099574343052622563827458803007832708217849e-44
2.039,3.8907893571368875161535533085107975151621858480704e-44
2.0395,3.8983226753825480939965046556794861351539497938989e-44
2.04,3.9058595700197669449030396585817838561539718346075e-44
2.0405,3.9134000463398093899253057987180470757551711310811e-44
2.041,3.9209441096001536080732539702330918063073119774541e-44
2.0415,3.9284917650247863226224569620508797664192256576322e-44
2.042,3.9360430178044286804558231027032484542372499136843e-44
2.0425,3.9435978730968599256688375747579641979653515187443e-44
2.043,3.9511563360271377905178362941582439307731286075152e-44
2.0435,3.9587184116878832518961843142640991574493074494488e-44
2.044,3.9662841051395626969856046668635690663045400425986e-44
2.0445,3.9738534214107070094564279808584602415224980394462e-44
2.045,3.9814263654981885039165951184508468284976053102368e-44
2.0455,3.989002942367495363597447942933919852649918744758e-44
2.046,3.9965831569529362699608207839047012086725670688432e-44
2.0465,4.0041670141579434637970175526086133089575191371908e-44
2.047,4.0117545188552723867561600918550908039875001040135e-44
2.0475,4.0193456758872661904904495989070218990470431403979e-44
2.048,4.0269404900661178973013292109062231030598798348403e-44
2.0485,4.0345389661740694870507584443538179258437687044791e-44
2.049,4.0421411089636692996705529763265543640490289331358e-44
2.0495,4.0497469231580271733267492657257770463076399126347e-44
2.05,4.05735641345099974352367075314395985396412267673e-44
2.0505,4.0649695845074747885142503920247715109661483856065e-44
2.051,4.0725864409635519878272690234041358281678734628574e-44
2.0515,4.0802069874267890274970515139253612157701752361307e-44
2.052,4.0878312284764455737122515507204096004528283468173e-44
2.0525,4.0954591686636641510047801710368678229967428162678e-44
2.053,4.1030908125117097812646313087599543584931631330013e-44
2.0535,4.1107261645162075665919306550153402298800910289212e-44
2.054,4.1183652291453103756068360073322758463661494137477e-44
2.0545,4.1260080108399661714377576564591128504117518740544e-44
2.055,4.1336545140140815584258765021094723074989179877536e-44
2.0555,4.1413047430547511345586375468266069125615274915972e-44
2.056,4.1489587023224849068316285623619482898718322344409e-44
2.0565,4.1566163961513725650619469069272165437483537099901e-44
2.057,4.1642778288493069424178914573661464719386831526845e-44
2.0575,4.1719430046982056065866881477758950077507935259306e-44
2.058,4.1796119279541624733494308185537634517917523060697e-44
2.0585,4.1872846028476996403239381603576792776004985880713e-44
2.059,4.1949610335839152208369842216923727532155359901286e-44
2.0595,4.2026412243426974250176223129287359400651624192633e-44
2.06,4.2103251792789368785375381893950186322269396898695e-44
2.0605,4.2180129025226757320282188286645927684471934580647e-44
